Area Year,Area,Year,Cases,Rate
Anderson2018,Anderson,2018,98,168.8
Anderson2017,Anderson,2017,93,159.8
Anderson2016,Anderson,2016,82,142.5
Anderson2015,Anderson,2015,60,104.1
Anderson2014,Anderson,2014,46,79.5
Andrews2018,Andrews,2018,20,110.3
Andrews2016,Andrews,2016,17,95.5
Andrews2017,Andrews,2017,12,68.1
Andrews2015,Andrews,2015,12,66.4
Andrews2014,Andrews,2014,6,34.4
Angelina2017,Angelina,2017,155,176.7
Angelina2014,Angelina,2014,153,174.7
Angelina2018,Angelina,2018,151,173.4
Angelina2016,Angelina,2016,149,169.8
Angelina2015,Angelina,2015,121,137.7
Aransas2018,Aransas,2018,38,159.7
Aransas2017,Aransas,2017,35,137.5
Aransas2016,Aransas,2016,29,115.1
Aransas2015,Aransas,2015,23,92.7
Aransas2014,Aransas,2014,18,73.3
Archer2015,Archer,2015,23,262.6
Archer2018,Archer,2018,8,91.1
Archer2017,Archer,2017,5,56.9
Archer2016,Archer,2016,5,56.9
Archer2014,Archer,2014,,
Armstrong2017,Armstrong,2017,43,2286
Armstrong2018,Armstrong,2018,36,1902.7
Armstrong2016,Armstrong,2016,25,1356.5
Armstrong2015,Armstrong,2015,5,263
Armstrong2014,Armstrong,2014,,
Atascosa2018,Atascosa,2018,81,161
Atascosa2017,Atascosa,2017,74,150.8
Atascosa2016,Atascosa,2016,52,106.8
Atascosa2015,Atascosa,2015,47,97.2
Atascosa2014,Atascosa,2014,37,77.6
Austin2015,Austin,2015,23,78
Austin2017,Austin,2017,22,73.9
Austin2018,Austin,2018,21,70
Austin2016,Austin,2016,15,50.6
Austin2014,Austin,2014,15,51.8
Bailey2018,Bailey,2018,9,128.1
Bailey2015,Bailey,2015,7,96.9
Bailey2014,Bailey,2014,5,71.7
Bailey2017,Bailey,2017,,
Bailey2016,Bailey,2016,,
Bandera2018,Bandera,2018,10,43.8
Bandera2017,Bandera,2017,10,44.8
Bandera2014,Bandera,2014,6,28.8
